1,3409,10,230
2,3292,17,291
3,3107,23,422
4,2954,30,524
5,2687,40,700
6,2383,57,861
7,2110,69,975
8,1800,75,1171
9,1562,89,1246
10,1291,97,1389
11,1015,112,1479
12,711,124,1584
13,516,134,1582
14,382,141,1530
15,296,139,1477
16,202,141,1417
17,182,141,1289
18,168,139,1182
19,155,132,1083
20,146,128,987
21,151,119,878
22,149,116,787
23,139,113,707
24,149,109,596
25,153,100,516
26,154,92,447
27,145,86,394
28,142,77,344
29,144,61,305
30,152,57,257
31,154,51,228
32,158,45,203
33,169,44,172
34,181,37,147
35,184,34,134
36,198,29,115
37,216,28,93
38,231,22,80
39,247,21,67
40,261,18,59
41,275,17,52
42,287,16,48
43,302,14,43
44,314,12,43
45,323,10,48
46,346,9,40
47,368,7,35
48,388,7,32
49,409,7,28
50,429,5,27
51,448,5,27
52,468,5,26
53,491,4,23
54,512,3,23
55,536,3,20
56,557,3,20
57,580,3,18
58,600,3,19
59,621,2,20
60,641,2,22
61,663,2,22
62,686,2,21
63,702,2,27
64,722,2,29
65,743,2,30
66,760,3,28
67,782,2,28
68,802,2,30
69,826,3,19
70,846,3,20
71,864,3,23
72,883,3,25
73,901,3,28
74,921,3,29
75,937,3,34
76,950,3,42
77,968,3,45
78,982,4,48
79,1003,4,47
80,1024,4,46
81,1041,4,46
82,1062,4,45
83,1083,4,44
84,1096,4,51
85,1109,4,58
86,1122,4,65
87,1141,6,49
88,1161,6,47
89,1178,5,48
90,1194,5,51
91,1210,5,54
92,1221,6,56
93,1236,5,60
94,1252,5,63
95,1268,6,55
96,1280,5,62
97,1295,5,66
98,1308,6,63
99,1313,6,76
100,1325,7,77
101,1334,7,85
102,1341,8,88
103,1345,8,100
104,1348,9,107
105,1342,9,128
106,1350,11,124
107,1353,11,133
108,1330,13,153
109,1324,14,160
110,1316,14,176
111,1276,16,213
112,1249,18,229
113,1243,18,240
114,1231,17,258
115,1219,18,268
116,1197,17,297
117,1179,20,307
118,1174,21,312
119,1138,22,339
120,1098,24,359
121,1075,25,379
122,1078,28,346
123,1061,27,352
124,1031,29,367
125,1006,31,370
126,960,32,399
127,928,33,404
