1,3432,10,231
2,3437,17,313
3,3352,25,445
4,3199,32,651
5,2983,48,840
6,2727,61,1098
7,2400,80,1357
8,2061,107,1584
9,1699,127,1902
10,1514,148,2052
11,1282,161,2252
12,1212,184,2305
13,1086,193,2473
14,999,196,2646
15,992,206,2713
16,966,223,2794
17,921,229,2929
18,921,238,2928
19,1020,244,2894
20,1004,249,2967
21,975,257,3017
22,940,262,3078
23,958,267,3093
24,1048,277,2968
25,1038,273,3052
26,1072,277,3075
27,1081,280,3130
28,1034,275,3255
29,977,280,3352
30,905,284,3434
31,1006,298,3306
32,1103,298,3250
33,1122,292,3295
34,1139,293,3284
35,1110,293,3312
36,1076,297,3324
37,1071,301,3314
38,1148,302,3253
39,1230,302,3185
40,1171,299,3286
41,1145,304,3296
42,1190,312,3243
43,1244,307,3197
44,1301,302,3155
45,1240,301,3240
46,1249,301,3255
47,1264,300,3247
48,1320,301,3192
49,1276,298,3229
50,1234,296,3275
51,1229,296,3291
52,1242,306,3233
53,1293,306,3142
54,1390,301,3074
55,1348,293,3146
56,1343,292,3175
57,1364,295,3126
58,1331,299,3167
59,1335,305,3140
60,1281,303,3223
61,1310,310,3144
62,1377,314,3051
63,1331,305,3130
64,1291,303,3174
65,1223,302,3224
66,1210,300,3231
67,1186,300,3227
68,1211,291,3209
69,1205,297,3220
70,1242,300,3157
71,1272,300,3138
72,1252,287,3197
73,1218,288,3201
74,1173,286,3255
75,1150,288,3300
76,1173,292,3297
77,1155,288,3304
78,1055,287,3417
79,1011,295,3453
80,1045,303,3409
81,1096,300,3378
82,1125,298,3393
83,1165,302,3348
84,1199,306,3291
85,1176,309,3314
86,1171,307,3347
87,1252,310,3268
88,1311,303,3240
89,1356,303,3222
90,1305,297,3294
91,1334,300,3264
92,1421,305,3167
93,1374,305,3197
94,1363,303,3184
95,1353,303,3153
96,1309,299,3161
97,1303,297,3161
98,1245,294,3224
99,1264,292,3196
100,1253,296,3182
101,1313,295,3127
102,1259,298,3153
103,1229,293,3190
104,1253,295,3144
105,1237,296,3157
106,1242,295,3106
107,1274,293,3119
108,1218,291,3214
109,1243,296,3191
110,1272,295,3188
111,1284,293,3193
112,1202,293,3263
113,1313,302,3130
114,1340,299,3152
115,1350,303,3118
116,1348,301,3104
117,1434,298,3049
118,1361,297,3123
119,1351,303,3084
120,1260,304,3159
121,1335,304,3067
122,1274,301,3159
123,1294,299,3151
124,1251,298,3179
125,1302,299,3153
126,1323,303,3107
127,1342,304,3107
128,1220,297,3241
129,1194,304,3209
130,1229,306,3178
131,1287,305,3135
132,1332,302,3092
133,1271,297,3142
134,1278,294,3180
135,1331,299,3127
136,1265,291,3224
137,1256,299,3189
138,1238,298,3173
139,1178,301,3222
140,1237,303,3137
141,1187,303,3180
142,1257,305,3110
143,1290,300,3125
144,1268,299,3154
145,1259,303,3166
146,1297,300,3146
147,1265,299,3190
148,1174,301,3293
149,1226,308,3206
150,1273,308,3125
151,1244,302,3161
152,1301,309,3076
153,1323,301,3073
154,1262,288,3168
155,1224,291,3190
156,1191,291,3227
157,1172,292,3240
