1,3414,10,216
2,3288,15,305
3,3118,23,401
4,2911,30,547
5,2637,43,714
6,2354,57,851
7,2053,69,1008
8,1730,78,1170
9,1424,92,1311
10,1166,102,1410
11,967,115,1392
12,761,123,1400
13,579,129,1408
14,451,132,1373
15,329,127,1359
16,241,132,1263
17,212,126,1155
18,172,122,1085
19,142,120,1007
20,135,112,914
21,113,107,831
22,116,106,723
23,87,102,662
24,84,96,581
25,85,92,500
26,70,84,443
27,74,79,372
28,77,76,305
29,72,67,255
30,80,59,200
31,85,46,161
32,90,39,129
33,96,29,106
34,102,23,89
35,110,17,76
36,121,14,63
37,133,13,50
38,144,12,39
39,153,10,32
40,162,7,28
41,169,6,27
42,181,4,23
43,192,4,19
44,194,3,26
45,206,3,23
46,216,3,22
47,228,3,19
48,239,3,17
49,250,3,15
50,262,2,13
51,273,2,12
52,285,2,10
53,297,1,9
54,308,1,9
55,319,1,9
56,331,1,8
57,343,1,7
58,355,1,6
59,367,1,5
60,379,1,4
61,391,1,3
62,399,1,6
63,410,1,6
64,422,1,5
65,434,1,4
66,446,1,3
67,457,1,3
68,468,1,3
69,480,1,2
70,492,1,1
71,504,1,0
72,516,0,0
73,528,0,0
74,540,0,0
75,552,0,0
76,564,0,0
77,576,0,0
78,588,0,0
79,600,0,0
80,612,0,0
