1,3391,10,211
2,3488,16,311
3,3489,24,389
4,3382,29,569
5,3225,43,734
6,3021,54,956
7,2675,73,1273
8,2361,96,1570
9,1997,117,1974
10,1686,152,2236
11,1494,175,2500
12,1452,199,2658
13,1318,220,2895
14,1256,244,3018
15,1266,256,3144
16,1250,266,3302
17,1256,285,3363
18,1365,288,3414
19,1421,292,3513
20,1447,304,3562
21,1599,315,3482
22,1668,317,3505
23,1646,321,3626
24,1749,326,3585
25,1790,326,3613
26,1885,336,3533
27,1953,333,3534
28,2067,334,3475
29,2008,335,3541
30,2078,334,3532
31,2184,341,3440
32,2205,335,3423
33,2183,340,3415
34,2179,343,3388
35,2138,339,3399
36,2101,334,3418
37,2053,335,3441
38,2046,338,3390
39,2014,329,3453
40,2041,329,3403
41,2006,333,3414
42,2033,332,3413
43,2086,331,3389
44,2121,327,3370
45,1977,319,3562
46,2059,328,3461
47,2099,324,3399
48,1932,327,3544
49,1854,334,3586
50,1968,339,3468
51,2025,334,3457
52,2013,335,3459
53,2006,332,3469
54,2132,338,3363
55,2163,337,3347
56,2190,331,3344
57,2178,323,3362
58,2050,326,3455
59,2009,335,3439
60,2062,336,3402
61,2055,329,3406
62,2059,340,3324
63,2003,326,3410
64,1912,328,3478
65,1964,332,3442
66,2043,332,3383
67,1940,327,3495
68,1924,325,3554
69,2030,330,3450
70,2055,325,3474
71,2086,328,3432
72,2079,328,3467
73,1981,327,3589
74,2003,330,3562
75,2059,338,3480
76,2077,338,3450
77,2037,331,3534
78,2045,333,3552
79,2077,339,3489
80,1961,339,3566
81,2027,333,3525
82,2027,336,3494
83,2118,339,3342
84,2063,329,3391
85,2100,330,3346
86,2041,329,3426
87,2092,324,3383
88,2034,328,3437
89,1978,332,3470
90,1993,331,3471
91,2036,335,3416
92,2103,343,3309
93,2178,342,3247
94,2203,335,3240
95,2190,327,3232
96,2142,322,3282
97,2076,324,3320
98,1924,321,3450
99,1935,331,3402
100,1890,321,3460
