1,3446,10,206
2,3333,13,294
3,3166,22,380
4,2963,28,530
5,2704,40,667
6,2500,51,752
7,2267,63,850
8,1961,71,1046
9,1636,83,1208
10,1407,96,1250
11,1152,103,1297
12,919,112,1345
13,709,118,1373
14,524,125,1398
15,318,130,1429
16,256,132,1328
17,197,130,1252
18,188,122,1140
19,137,122,1070
20,105,119,994
21,65,115,928
22,67,109,823
23,62,105,734
24,67,103,637
25,66,95,554
26,59,85,487
27,54,76,427
28,60,67,365
29,67,61,308
30,71,56,259
31,79,50,212
32,82,47,173
33,89,39,138
34,92,32,114
35,98,26,93
36,106,23,73
37,112,21,57
38,117,19,43
39,126,14,31
40,136,9,23
41,142,6,22
42,153,5,17
43,164,4,13
44,175,3,10
45,186,3,7
46,197,2,5
47,208,2,3
48,219,2,1
49,230,1,0
